File,Line,Index,Context
wiki/Zgornji_Otok.html,211,530,"png 2x"" data-file-width=""300"" data-file-height=""201"" /></a></div"
wiki/Zgornji_Otok.html,260,18,"<table class=""metadata plainlinks stub"" role=""presen"
wiki/Zgornji_Otok.html,262,465,"g-map_of_Slovenia.svg.png 2x"" data-file-width=""620"" data-file-he"
wiki/Zgornji_Otok.html,262,487,"png 2x"" data-file-width=""620"" data-file-height=""374"" /></a></td>"
wiki/Zgornji_Otok.html,311,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
wiki/Zgornji_Otok.html,311,1091,"tegory:Coordinates_on_Wikidata"" title=""Category:Coordinates on W"
wiki/Zgornji_Otok.html,311,1132,"tegory:Coordinates on Wikidata"">Coordinates on Wikidata</a></li>"
wiki/Zgornji_Otok.html,311,1157,"idata"">Coordinates on Wikidata</a></li><li><a href=""/wiki/Catego"
wiki/Zgornji_Otok.html,394,999,"a href=""https://www.wikidata.org/wiki/Q2136008"" title=""Link to c"
wiki/Zgornji_Otok.html,394,1048,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
wiki/Zgornji_Otok.html,394,1092," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
wiki/Zgornji_Otok.html,411,125,"><a href=""https://www.wikidata.org/wiki/Q2136008#sitelinks-wikip"
wiki/Blue_Heelers_(season_8).html,49,406,"Flag_of_Australia.svg.png 2x"" data-file-width=""1280"" data-file-h"
wiki/Blue_Heelers_(season_8).html,49,429,"ng 2x"" data-file-width=""1280"" data-file-height=""640"" />&#160;</s"
wiki/Blue_Heelers_(season_8).html,79,29,"<table class=""plainlinks metadata ambox ambox-content ambox-lea"
wiki/Blue_Heelers_(season_8).html,82,429,"0px-Wiki_letter_w.svg.png 2x"" data-file-width=""44"" data-file-hei"
wiki/Blue_Heelers_(season_8).html,82,450,".png 2x"" data-file-width=""44"" data-file-height=""44"" /></a></div>"
wiki/Blue_Heelers_(season_8).html,105,29,"<table class=""plainlinks metadata ambox mbox-small-left ambox-c"
wiki/Blue_Heelers_(season_8).html,107,488,"_letter_w_cropped.svg.png 2x"" data-file-width=""44"" data-file-hei"
wiki/Blue_Heelers_(season_8).html,107,509,".png 2x"" data-file-width=""44"" data-file-height=""31"" /></a></td>"
wiki/Blue_Heelers_(season_8).html,125,29,"<table class=""plainlinks metadata ambox mbox-small-left ambox-c"
wiki/Blue_Heelers_(season_8).html,127,488,"_letter_w_cropped.svg.png 2x"" data-file-width=""44"" data-file-hei"
wiki/Blue_Heelers_(season_8).html,127,509,".png 2x"" data-file-width=""44"" data-file-height=""31"" /></a></td>"
wiki/Blue_Heelers_(season_8).html,133,29,"<table class=""plainlinks metadata ambox mbox-small-left ambox-c"
wiki/Blue_Heelers_(season_8).html,135,488,"_letter_w_cropped.svg.png 2x"" data-file-width=""44"" data-file-hei"
wiki/Blue_Heelers_(season_8).html,135,509,".png 2x"" data-file-width=""44"" data-file-height=""31"" /></a></td>"
wiki/Blue_Heelers_(season_8).html,141,29,"<table class=""plainlinks metadata ambox mbox-small-left ambox-c"
wiki/Blue_Heelers_(season_8).html,143,488,"_letter_w_cropped.svg.png 2x"" data-file-width=""44"" data-file-hei"
wiki/Blue_Heelers_(season_8).html,143,509,".png 2x"" data-file-width=""44"" data-file-height=""31"" /></a></td>"
wiki/Blue_Heelers_(season_8).html,660,421,"Flag_of_Australia.svg.png 2x"" data-file-width=""1280"" data-file-h"
wiki/Blue_Heelers_(season_8).html,660,444,"ng 2x"" data-file-width=""1280"" data-file-height=""640"" />&#160;</s"
wiki/Blue_Heelers_(season_8).html,695,421,"Flag_of_Australia.svg.png 2x"" data-file-width=""1280"" data-file-h"
wiki/Blue_Heelers_(season_8).html,695,444,"ng 2x"" data-file-width=""1280"" data-file-height=""640"" />&#160;</s"
wiki/Blue_Heelers_(season_8).html,730,421,"Flag_of_Australia.svg.png 2x"" data-file-width=""1280"" data-file-h"
wiki/Blue_Heelers_(season_8).html,730,444,"ng 2x"" data-file-width=""1280"" data-file-height=""640"" />&#160;</s"
wiki/Blue_Heelers_(season_8).html,739,450,"px-Wikiquote-logo.svg.png 2x"" data-file-width=""300"" data-file-he"
wiki/Blue_Heelers_(season_8).html,739,472,"png 2x"" data-file-width=""300"" data-file-height=""355"" /></a></td>"
wiki/Blue_Heelers_(season_8).html,886,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
wiki/Blue_Heelers_(season_8).html,969,1043,"a href=""https://www.wikidata.org/wiki/Q4929206"" title=""Link to c"
wiki/Blue_Heelers_(season_8).html,969,1092,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
wiki/Blue_Heelers_(season_8).html,969,1136," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
wiki/Blue_Heelers_(season_8).html,986,124,"><a href=""https://www.wikidata.org/wiki/Q4929206#sitelinks-wikip"
wiki/Taggen_Nunatak.html,6,506,"n System"",""Coordinates on Wikidata"",""All stub articles"",""Nunatak"
wiki/Taggen_Nunatak.html,44,302,".svg/24px-PD-icon.svg.png 2x"" data-file-width=""196"" data-file-he"
wiki/Taggen_Nunatak.html,44,324,"png 2x"" data-file-width=""196"" data-file-height=""196"" />&#160;Thi"
wiki/Taggen_Nunatak.html,44,1395,"aps, aerial photos, and other data for this location""><span clas"
wiki/Taggen_Nunatak.html,44,1640,"aps, aerial photos, and other data for this location"">72.167°S 2"
wiki/Taggen_Nunatak.html,46,18,"<table class=""metadata plainlinks stub"" role=""presen"
wiki/Taggen_Nunatak.html,48,481,"en_Maud_Land_stub_map.png 2x"" data-file-width=""291"" data-file-he"
wiki/Taggen_Nunatak.html,48,503,"png 2x"" data-file-width=""291"" data-file-height=""281"" /></a></td>"
wiki/Taggen_Nunatak.html,93,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
wiki/Taggen_Nunatak.html,93,1079,"tegory:Coordinates_on_Wikidata"" title=""Category:Coordinates on W"
wiki/Taggen_Nunatak.html,93,1120,"tegory:Coordinates on Wikidata"">Coordinates on Wikidata</a></li>"
wiki/Taggen_Nunatak.html,93,1145,"idata"">Coordinates on Wikidata</a></li><li><a href=""/wiki/Catego"
wiki/Taggen_Nunatak.html,176,1007,"a href=""https://www.wikidata.org/wiki/Q7675227"" title=""Link to c"
wiki/Taggen_Nunatak.html,176,1056,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
wiki/Taggen_Nunatak.html,176,1100," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
wiki/Taggen_Nunatak.html,193,125,"><a href=""https://www.wikidata.org/wiki/Q7675227#sitelinks-wikip"
wiki/Henri_BraqueniC3A9.html,43,102,"ble class=""plainlinks metadata ambox ambox-style ambox-No_footno"
wiki/Henri_BraqueniC3A9.html,46,512,"red_question_mark.svg.png 2x"" data-file-width=""48"" data-file-hei"
wiki/Henri_BraqueniC3A9.html,46,533,".png 2x"" data-file-width=""48"" data-file-height=""48"" /></div>"
wiki/Henri_BraqueniC3A9.html,92,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
wiki/Henri_BraqueniC3A9.html,175,1031,"a href=""https://www.wikidata.org/wiki/Q5715343"" title=""Link to c"
wiki/Henri_BraqueniC3A9.html,175,1080,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
wiki/Henri_BraqueniC3A9.html,175,1124," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
wiki/Henri_BraqueniC3A9.html,192,125,"><a href=""https://www.wikidata.org/wiki/Q5715343#sitelinks-wikip"
wiki/Vrila.html,6,539,"age text"",""Coordinates on Wikidata"",""All stub articles"",""Populat"
wiki/Vrila.html,57,698,"vina_location_map.svg.png 2x"" data-file-width=""1063"" data-file-h"
wiki/Vrila.html,57,721,"ng 2x"" data-file-width=""1063"" data-file-height=""1014"" /></a>"
wiki/Vrila.html,59,378,".svg/12px-Red_pog.svg.png 2x"" data-file-width=""64"" data-file-hei"
wiki/Vrila.html,59,399,".png 2x"" data-file-width=""64"" data-file-height=""64"" /></div>"
wiki/Vrila.html,69,348,"aps, aerial photos, and other data for this location""><span clas"
wiki/Vrila.html,69,593,"aps, aerial photos, and other data for this location"">43.967°N 1"
wiki/Vrila.html,73,499,"a_and_Herzegovina.svg.png 2x"" data-file-width=""800"" data-file-he"
wiki/Vrila.html,73,521,"png 2x"" data-file-width=""800"" data-file-height=""400"" />&#160;</s"
wiki/Vrila.html,99,435,"aps, aerial photos, and other data for this location""><span clas"
wiki/Vrila.html,99,680,"aps, aerial photos, and other data for this location"">43.967°N 1"
